species,belly,breast,crown,mantle,nape,rump,tail,tail.underside,throat,wing.coverts,wing.primaries.secondaries,Size,Light_environment ,Parental_care,Territoriality,Hunting_strategy
Tanysiptera_hydrocharis,-0.023855457,-0.033173018,0.303173979,0.192045576,0.356158364,0.013061629,0.142980421,0.024570307,-0.046693876,0.311116189,0.254107696,50.15,forest,pair,0,ground_dweller
Tanysiptera_nympha,-0.139397616,-0.132586174,0.314554504,0.096918259,0.357320652,-0.219845906,0.385520258,0.045367916,-0.127068245,0.327306025,0.066044737,57,forest,pair,0,ground_dweller
Tanysiptera_riedelii,-0.019828665,-0.025002397,0.225112361,0.22696006,0.232505278,0.325550329,0.009336194,-0.013958096,-0.027868374,0.28762977,0.330582919,65,forest,pair,0,
Tanysiptera_sylvia,-0.262511262,-0.291980688,0.311872186,0.056933498,0.407042584,-0.004029478,0.039391924,0.052096824,-0.261313571,0.31641347,0.301742923,49.6,forest,cooperative,0,ground_dweller
Todiramphus_australasia,-0.243459002,-0.23999183,0.004314732,-0.238213555,-0.060760435,0.098124687,0.201287232,0.040980353,-0.132700177,0.18638818,0.113862055,65.45,forest,pair,0,aerial_catcher
Todiramphus_chloris,-0.045976882,-0.041580726,0.064743842,0.004148555,0.056327362,0.197885381,0.229887758,0.073139424,-0.024179486,0.18357869,0.227414933,66.09,open,pair,1,ground_catcher
Todiramphus_cinnamominus,-0.088947052,-0.107690917,-0.148759885,-0.080820573,-0.185822164,0.106366576,0.135819441,0.007574586,-0.043547549,0.093551692,0.124140257,62.2,woodland,cooperative,0,
Todiramphus_diops,-0.045378226,-0.021391519,0.266230397,0.057303289,0.243384995,0.259929511,0.252068526,0.042195626,-0.02752827,0.360868674,0.263121481,47.37,open,cooperative,0,
Todiramphus_funebris,-0.019842824,-0.007816615,0.037048356,0.042922345,0.04753548,0.022095053,0.060547359,0.042281254,-0.009268782,0.016039766,0.02426137,105.79,woodland,pair,0,ground_catcher
Todiramphus_gambieri,0.00019909,-0.123652479,-0.103780871,-0.087911927,-0.18744943,0.041015772,0.136821728,0.060516057,0.007269408,0.109255437,0.128226039,34.98,woodland,cooperative,0,
Todiramphus_godeffroyi,-0.030464207,-0.012158881,0.007122639,-0.033198824,-0.003241451,0.1156525,0.137128615,0.057643699,-0.0206998,0.162559964,0.169322857,63.35,woodland,cooperative,0,aerial_catcher
Todiramphus_lazuli,0.104682137,-0.009060701,0.320827985,0.291837098,0.345314249,0.216798748,0.280237271,0.092874976,-0.025307867,0.314512576,0.267694086,65.45,woodland,cooperative,0,
Todiramphus_leucopygius,-0.037645212,-0.028828899,0.359734354,0.057670078,0.33467538,0.191176809,0.276923656,0.064669846,-0.040409347,0.403647967,0.295721766,47.92,woodland,pair,0,ground_catcher
Todiramphus_macleayii,-0.014831769,-0.003783691,0.276960415,0.237540323,0.334523923,0.311102782,0.295035632,0.031611573,0.004124971,0.398842763,0.328273139,37.3,woodland,cooperative,1,ground_catcher
Todiramphus_nigrocyaneus,0.177535583,0.187514832,0.258155503,0.084907559,0.373064272,0.311441528,0.205968523,0.040145442,0.001369927,0.315871747,0.237361445,54.2,woodland,cooperative,0,ground_catcher
Todiramphus_pyrrhopygius,-0.054116175,-0.031078038,-0.001292832,-0.049372107,0.00457035,-0.125606144,0.125318707,0.045040769,-0.005396353,0.098781965,0.158321947,51.7,open,pair,0,ground_catcher
Todiramphus_recurvirostris,-0.125681991,-0.066374624,0.07444181,-0.136234004,0.042518874,0.140647797,0.158480101,0.032688126,-0.029397159,0.160438858,0.176276235,52.96,open,NA,0,ground_catcher
Todiramphus_sanctus,-0.156122254,-0.134230369,-0.026127315,-0.11861248,0.002568262,0.087324955,0.139635143,0.035636134,-0.056333087,0.077572759,0.152748499,52.96,open,pair,1,ground_catcher
Todiramphus_saurophaga,-0.021368835,-0.011251096,-0.007204156,0.020861145,-0.006553983,0.150477174,0.216899166,0.059540388,-0.011232224,0.221232755,0.256583919,126,open,pair,,ground_catcher
Todiramphus_veneratus,-0.031411989,-0.057653495,-0.041185611,-0.021315841,-0.043548921,-0.02400323,0.045969994,0.039608364,-0.016866428,0.005138852,0.037366108,65.45,woodland,pair,0,ground_catcher
Todiramphus_winchelli,-0.064948822,-0.206822289,0.284536059,-0.066730354,0.143739067,0.196718604,0.267142221,0.065850621,-0.165594842,0.239999277,0.179162661,67.39,woodland,cooperative,0,ground_catcher
Todus_angustirostris,-0.006746603,0.00695238,-0.100572809,-0.037883615,-0.082265534,-0.048911654,-0.034136955,0.032746507,-0.147622407,-0.102638659,-0.055898796,7.5,forest,cooperative,0,aerial_catcher
Todus_mexicanus,-0.068564418,0.00180886,-0.087936382,-0.019961773,-0.057327193,-0.061101547,-0.006660288,0.029842659,-0.199340521,-0.059058323,-0.006216324,5.9,forest,cooperative,0,aerial_catcher
Todus_multicolor,-0.033798383,-0.006996544,-0.137625677,-0.06714723,-0.100335087,-0.091602983,-0.025562206,-0.038029948,-0.133258032,-0.102180761,-0.094003902,5.9,woodland,cooperative,0,aerial_catcher
Todus_subulatus,-0.046958614,-0.035018492,-0.118208708,-0.067194427,-0.105168047,-0.075697768,-0.057748055,0.061560166,-0.204710543,-0.09513025,-0.069251932,8.7,forest,cooperative,0,aerial_catcher
Todus_todus,-0.088483858,-0.034063659,-0.090110632,-0.075899217,-0.066653749,-0.052829953,-0.02330587,0.027252983,-0.215698142,-0.075614258,-0.067904758,6.4,woodland,cooperative,0,aerial_catcher
Uratelornis_chimaera,-0.017914603,-0.00803051,-0.071492646,-0.039107545,-0.057085279,-0.054177595,-0.072866422,0.022058431,-0.018420942,-0.023510167,-0.0022541,226,woodland,pair,0,
